id,direction_id,ligne_id,calendrier_id,macro_direction
339,40,13,2,0
1620,40,13,2,0
1665,12,13,4,1
4889,13,13,11,0
1587,40,13,2,0
4855,12,13,2,1
378,41,13,4,0
219,12,13,2,1
1522,12,13,1,1
1549,13,13,9,0
4786,40,13,7,0
1457,40,13,7,0
4733,12,13,2,1
286,41,13,4,0
5849,12,13,2,1
944,40,13,3,0
1432,41,13,2,0
2433,12,13,4,1
4203,40,13,7,0
5744,40,13,2,0
5753,12,13,2,1
5771,41,13,2,0
2480,41,13,1,0
5700,68,13,4,1
4261,40,13,2,0
1390,12,13,6,1
823,12,13,2,1
854,40,13,12,0
882,12,13,2,1
4177,12,13,2,1
5633,12,13,7,1
2377,41,13,2,0
4154,81,13,1,1
2366,12,13,3,1
1265,41,13,4,0
1256,12,13,2,1
1244,12,13,2,1
5669,41,13,2,0
1214,12,13,3,1
733,12,13,4,1
709,41,13,4,0
2742,12,13,2,1
2754,12,13,3,1
2701,41,13,1,0
757,41,13,4,0
4461,41,13,2,0
5504,40,13,2,0
4458,41,13,2,0
1105,12,13,2,1
5536,12,13,2,1
4424,41,13,2,0
1111,41,13,2,0
2647,41,13,2,0
2646,12,13,2,1
2642,12,13,4,1
678,41,13,2,0
2606,41,13,2,0
1089,12,13,2,1
2554,41,13,2,0
5441,40,13,7,0
5370,12,13,4,1
5338,12,13,2,1
5331,12,13,2,1
4027,41,13,2,0
4000,40,13,2,0
4054,41,13,11,0
5178,12,13,2,1
5144,12,13,2,1
1982,12,13,7,1
1922,40,13,3,0
1957,40,13,2,0
1,3,11,1,0
54,3,11,3,0
97,3,11,4,0
95,3,11,4,0
2113,3,11,1,0
2123,12,11,5,1
3270,3,11,1,0
2149,12,11,2,1
2181,3,11,1,0
2246,3,11,1,0
2263,12,11,5,1
3358,3,11,1,0
2269,12,11,5,1
2270,12,11,1,1
3304,12,11,3,1
3488,12,11,4,1
3496,12,11,1,1
3428,12,11,1,1
3469,3,11,4,0
2012,3,11,7,0
2091,3,11,2,0
3533,12,11,4,1
3548,3,11,3,0
2068,3,11,4,0
3522,3,11,4,0
3594,3,11,1,0
2032,12,11,1,1
3686,12,11,2,1
3698,12,11,1,1
3638,12,11,1,1
3634,61,11,2,1
3646,3,11,1,0
3723,3,11,4,0
3747,3,11,1,0
168,12,11,5,1
146,3,11,7,0
3783,12,11,1,1
197,3,11,7,0
3791,12,11,1,1
3852,3,11,4,0
3857,12,11,2,1
3841,3,11,4,0
3836,12,11,1,1
3824,12,11,1,1
105,12,11,2,1
101,3,11,7,0
3896,3,11,4,0
3032,12,11,3,1
3055,3,11,4,0
3037,3,11,1,0
3082,12,11,1,1
3946,3,11,1,0
3940,12,11,5,1
3941,3,11,4,0
3967,3,11,1,0
3963,3,11,4,0
3968,3,11,2,0
3991,12,11,2,1
3909,12,11,2,1
3155,12,11,4,1
3142,3,11,2,0
3115,12,11,4,1
3121,12,11,1,1
3120,12,11,2,1
3169,12,11,4,1
3171,3,11,4,0
542,3,11,1,0
543,12,11,1,1
1835,12,11,2,1
581,12,11,2,1
588,3,11,2,0
559,3,11,1,0
553,12,11,4,1
560,3,11,4,0
1850,3,11,4,0
4701,12,11,15,1
4700,3,11,2,0
2929,3,11,1,0
1878,12,11,2,1
1871,3,11,1,0
4610,3,11,4,0
4641,3,11,1,0
4655,3,11,7,0
4693,12,11,2,1
4690,3,11,2,0
409,12,11,4,1
402,12,11,4,1
2821,12,11,2,1
441,12,11,4,1
451,3,11,4,0
2875,3,11,3,0
455,12,11,1,1
2878,12,11,3,1
1794,12,11,1,1
2806,3,11,5,0
1732,12,11,4,1
1736,12,11,4,1
4500,12,11,1,1
4558,12,11,1,1
4549,3,11,4,0
4539,3,11,1,0
485,12,11,2,1
4579,3,11,2,0
2796,3,11,2,0
341,3,11,2,0
329,12,11,2,1
4932,3,11,2,0
1631,12,11,1,1
4903,12,11,4,1
1575,3,11,1,0
4879,3,11,1,0
372,3,11,1,0
358,75,11,1,1
217,3,11,2,0
220,3,11,9,0
228,12,11,1,1
1513,12,11,1,1
1518,3,11,4,0
4838,3,11,4,0
4839,12,11,1,1
4797,3,11,1,0
1495,12,11,5,1
1458,12,11,4,1
1466,3,11,4,0
4758,12,11,5,1
4746,12,11,2,1
4737,3,11,4,0
1497,3,11,2,0
274,3,11,4,0
5838,3,11,4,0
5827,12,11,4,1
947,12,11,4,1
948,3,11,1,0
930,12,11,4,1
1425,12,11,1,1
931,12,11,4,1
1435,3,11,4,0
927,12,11,1,1
987,3,11,4,0
984,12,11,4,1
968,3,11,4,0
1400,3,11,7,0
5803,3,11,4,0
5807,12,11,1,1
2527,12,11,3,1
2522,3,11,1,0
5752,12,11,4,1
2457,3,11,3,0
2478,12,11,2,1
2472,12,11,2,1
4276,12,11,2,1
5726,3,11,4,0
5784,3,11,3,0
1346,12,11,1,1
5778,12,11,1,1
1335,12,11,1,1
1356,3,11,1,0
803,3,11,2,0
1311,12,11,5,1
1323,12,11,1,1
822,3,11,2,0
828,12,11,4,1
838,12,11,4,1
869,3,11,2,0
876,12,11,2,1
870,12,11,2,1
4187,3,11,2,0
892,3,11,5,0
895,12,11,1,1
2414,12,11,1,1
2418,12,11,3,1
4106,12,11,2,1
4103,3,11,4,0
4114,12,11,1,1
2379,3,11,2,0
4149,3,11,2,0
2383,3,11,1,0
4158,12,11,2,1
2347,3,11,3,0
1286,3,11,2,0
2398,12,11,2,1
1262,12,11,3,1
1248,3,11,1,0
5692,3,11,4,0
5695,61,11,2,1
1225,12,11,1,1
5673,3,11,1,0
1215,12,11,4,1
749,3,11,1,0
737,3,11,4,0
714,3,11,3,0
1206,12,11,1,1
