arretId,correspondanceId,distance
20029,20291,147
20029,10010,13
20974,20973,92
20974,10503,92
20974,10504,0
20692,20281,136
20692,20283,140
20692,20282,146
20692,20693,26
20692,10354,13
20692,10139,143
20692,10138,198
20028,20029,27
20028,20291,125
20028,10010,13
10040,20084,36
10040,20083,36
20694,20283,117
20694,20282,112
20694,20695,31
20694,10355,16
20694,10139,114
10041,20086,38
10041,20085,38
20693,20281,161
20693,20283,138
20693,20282,145
20693,20692,26
20693,10354,13
20693,10139,142
10042,20088,20
10042,20087,20
20978,10508,0
20696,20697,9
20696,10356,4
20979,20980,8
20979,20982,166
20979,10509,4
20695,20283,140
20695,20282,136
20695,20694,31
20695,10355,16
20695,10139,138
20698,20699,21
20698,10357,11
20697,20696,9
20697,10356,5
10039,10522,58
10039,21003,58
10039,21002,58
10039,20081,58
10039,20082,58
10038,21023,127
10038,20078,199
10038,20079,69
10038,20080,59
10037,10036,177
10037,21023,107
10037,20076,177
10037,20078,28
10037,20077,28
10036,10037,177
10036,10035,142
10036,20076,0
10036,20078,153
10036,20074,142
10035,10036,142
10035,20076,142
10035,20074,0
20422,20423,77
20422,10211,39
10034,20071,82
10034,20072,33
10034,20073,49
20423,20422,77
20423,20421,169
20423,10211,39
10033,20069,34
10033,20070,34
20420,20649,146
20420,20646,140
20420,20647,149
20420,20421,136
20420,10331,144
20420,10332,146
20420,10210,68
10032,20067,19
10032,10066,198
10032,10068,199
10032,20148,19
10032,20139,190
10032,20134,167
20421,20649,137
20421,20423,169
20421,20420,136
20421,10332,137
20421,10210,68
20297,20298,58
20297,10597,196
20297,21153,180
20297,10146,29
20426,20427,51
20426,20429,188
20426,10213,25
20427,20426,51
20427,20429,140
20427,10213,25
20427,10214,171
20298,20297,58
20298,10597,180
20298,21153,159
20298,10146,29
20424,20425,44
20424,20564,176
20424,10212,97
20295,20296,96
20295,20294,87
20295,20017,158
20295,10145,45
20295,10106,160
20295,20397,163
20296,20295,96
20296,20294,124
20296,10145,68
20425,20424,44
20425,10212,126
20428,20429,64
20428,10214,32
20429,20426,188
20429,20427,140
20429,20428,64
20429,10213,164
20429,10214,32
20012,20002,53
20012,20004,46
20012,20001,49
20012,20007,134
20012,20006,80
20012,20009,64
20012,20008,68
20012,20011,64
20012,20010,53
20012,10001,28
20290,20291,171
